##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
EVT_90000405_DESC;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;x
EVT_90000406_NAME;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;x
EVT_90000406_DESC;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;x
EVT_90000406_NAME;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;x
EVT_90000406_DESC;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;x
EVT_90000407_NAME;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;x
EVT_90000407_DESC;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;x
CA_SOV;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;x
CA_IND;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;x
CA_AXI;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;x
EVT_90000409_NAME;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;x
EVT_90000409_DESC;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;x
EVT_90000409_B;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;x
EVT_90000410_NAME;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;x
EVT_90000410_DESC;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;x
EVT_90000411_NAME;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;x
EVT_90000411_DESC;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;x
EVT_90000412_NAME;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;x
EVT_90000412_DESC;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;x
EVT_90000413_NAME;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;x
EVT_90000413_DESC;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;x
EVT_90000413_A;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;x
EVT_90000413_B;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;x
EVT_90000413_C;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;x
EVT_90000414_NAME;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;x
